ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JANEIRO,SACRAMENTA,BELEM,PROSTIBULO,"-1,4193795","-48,477179",15:00:00
2019,MAIO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3767964","-48,4375846",11:55:00
2019,JANEIRO,UNA,BELEM,CONDOMINIO RESIDENCIAL,"-1,3765549","-48,425966",10:00:00
2019,MARCO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4186473","-48,4707021",20:30:00
2019,JULHO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3581326","-48,4319751",15:30:00
2019,ABRIL,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3680089","-48,4405568",20:00:00
2019,JANEIRO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4554559","-48,4521573",08:00:00
2019,JUNHO,PARQUE GUAJARA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3075019","-48,4636471",08:00:00
2019,OUTUBRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3377241","-48,4682825",18:00:00
2019,MARCO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3105308","-48,4726771",12:00:00
2019,OUTUBRO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4037143","-48,4675378",10:20:00
2019,AGOSTO,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4184536","-48,476175",12:00:00
2019,JUNHO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,3955779","-48,4524457",10:00:00
2019,FEVEREIRO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4570997","-48,4494405",15:00:00
2019,OUTUBRO,PRATINHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3662995","-48,4769942",10:00:00
2019,ABRIL,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4685388","-48,4991181",11:00:00
2019,ABRIL,MARACACUERA,ICOARACI,RESIDENCIA PARTICULAR,"-1,2994353","-48,4624473",18:50:00
2019,JANEIRO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4689835","-48,4585392",13:00:00
2019,FEVEREIRO,BENGUI,BELEM,RESIDENCIA PARTICULAR,"-1,3764045","-48,4488515",15:00:00
