ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,ABRIL,ARIRAMBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,1147348","-48,4275463",01:00:00
2019,ABRIL,NAZARE,BELEM,RESIDENCIA PARTICULAR,"-1,4484971","-48,4822377",18:40:00
2019,JUNHO,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,4368186","-48,4371381",11:30:00
2019,FEVEREIRO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,3950533","-48,447774",02:45:00
2019,MAIO,SAO BRAS,BELEM,RESIDENCIA PARTICULAR,"-1,447894","-48,4628953",18:00:00
2019,MARCO,MARCO,BELEM,ESTABELECIMENTO DE ENSINO,"-1,4316152","-48,4552853",11:00:00
2019,MAIO,NAZARE,BELEM,ESTABELECIMENTO DE ENSINO,,,17:00:00
2019,MAIO,CONDOR,BELEM,RESIDENCIA PARTICULAR,"-1,4707167","-48,478419",03:00:00
2019,JULHO,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4172926","-48,4832501",17:20:00
2019,JUNHO,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,4239788","-48,4795556",20:30:00
2019,JUNHO,NAZARE,BELEM,RESIDENCIA PARTICULAR,,,01:00:00
2019,JULHO,PARQUE GUAJARA,ICOARACI,VIA PUBLICA,"-1,3470843","-48,4642011",11:00:00
2019,MAIO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,3991184","-48,4812179",22:00:00
2019,MARCO,AGULHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3058455","-48,4733463",17:00:00
2019,MARCO,CIDADE VELHA,BELEM,RESIDENCIA PARTICULAR,"-1,4626088","-48,4976267",14:30:00
2019,MARCO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4231082","-48,4762403",16:00:00
2019,ABRIL,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4661589","-48,4606743",21:00:00
2019,JULHO,NATAL DO MURUBIRA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,3614542","-48,4440512",22:30:00
2019,MARCO,BATISTA CAMPOS,BELEM,RESIDENCIA PARTICULAR,"-1,455824893","-48,48660008",15:30:00
2019,MARCO,TENONE,ICOARACI,VIA PUBLICA,"-1,3259071","-48,4384724",07:45:00
2019,MAIO,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4132476","-48,4743087",23:00:00
2019,JUNHO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,2825029","-48,4588125",14:00:00
2019,FEVEREIRO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4718866","-48,4656224",05:00:00
2019,JULHO,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,3820107","-48,4873623",07:50:00
2019,AGOSTO,CREMACAO,BELEM,VIA PUBLICA,"-1,457277","-48,4804703",23:30:00
2019,FEVEREIRO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4712088","-48,4855386",09:00:00
2019,MARCO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4632855","-48,4535353",14:40:00
2019,FEVEREIRO,SAO BRAS,BELEM,VIA PUBLICA,"-1,4546566","-48,4697187",01:00:00
2019,JANEIRO,PEDREIRA,BELEM,VIA PUBLICA,"-1,4302445","-48,4660556",19:00:00
2019,FEVEREIRO,PEDREIRA,BELEM,"HOTEL, PENSAO, ETC","-1,4263724","-48,4711704",18:20:00
2019,MARCO,SAO BRAS,BELEM,VIA PUBLICA,"-1,4390939","-48,4610921",09:17:00
2019,JANEIRO,CREMACAO,BELEM,RESIDENCIA PARTICULAR,"-1,4663264","-48,4804779",00:00:00
2019,JANEIRO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4634444","-48,4540652",08:55:00
